OBJECTID,GEOID,STATE,COUNTY,TRACT,EACODE,EANAME,HCV_PUBLIC,HCV_PUBLIC_PCT,Shape__Area,Shape__Length
72367,39035160900,39,035,160900,,,,,2976424.79296875,13779.782008694
72385,39035120702,39,035,120702,,,54,15.64999962,1109070.0625,4787.75341293214
72386,39035183606,39,035,183606,,,24,8.78999996,897216.51171875,4060.37015119553
72387,39035174203,39,035,174203,,,,,5599714.12890625,13465.304205166
72388,39035140900,39,035,140900,,,13,6.44000006,1225679.2890625,5351.44724748437
72389,39035188107,39,035,188107,,,173,17.25,4647060.59765625,10919.6984319385
72447,39035196300,39,035,196300,,,,,65962953.7773438,42939.7987589057
72455,39035161100,39,035,161100,,,,,1617236.30078125,7850.29760910141
72456,39035161200,39,035,161200,,,15,2.28999996,1260837.17578125,6244.17778331101
72457,39035161400,39,035,161400,,,,,1662908.69921875,6412.48226112341
72466,39035141602,39,035,141602,,,21,8.47000027,928688.9296875,3874.75205304565
72467,39035173105,39,035,173105,,,,,2966542.2265625,7215.48008834476
72468,39035116800,39,035,116800,,,73,11.52999973,1560790.87890625,5594.52239576323
72469,39035106800,39,035,106800,,,45,5.55999994,1067089.6171875,4180.65445717068
72551,39035195700,39,035,195700,,,,,28958183.96875,34865.6640392329
72552,39035980100,39,035,980100,,,,,5411229.109375,16574.8373766204
72554,39035161500,39,035,161500,,,,,1804506.30078125,6407.57418394468
72555,39035170201,39,035,170201,,,,,7825606.09375,11950.4696284411
